"Name","Commit","Runtime","Notes","State","Sweep","Updated","Tags","batch_size","dropout","early_stopping","epochs","hidden_size","learning_rate","overlap","weight_decay","window_size","baseline_r2","best_val_loss","epoch","mae","mse","r2","rmse","train_loss","val_loss"
"mild-sweep-8","9a658d23da11e5897f202909f69a6b2eb6320611","386","-","finished","dkcr6n31","2025-03-25T21:53:01.000Z","","64","0.6097385117668932","20","200","128","0.0005","0.8797606317243174","0.00001830883089552993","50","-1.0011387495569006","0.004811898324221961","127","0.04377060756087303","0.006658734753727913","0.9352540981708988","0.08160106837749481","0.0028350425076068323","0.00669811066779259"
"winter-sweep-7","9a658d23da11e5897f202909f69a6b2eb6320611","508","-","finished","dkcr6n31","2025-03-25T21:46:27.000Z","","64","0.6727968148192177","20","200","128","0.0005","0.8908328868839857","0.0000034687758611126356","40","-1.0341626695315949","0.0031683425092653905","117","0.039340630173683167","0.009478945285081863","0.9069917420899184","0.09735987335443495","0.0049652906384971725","0.012348850727513698"
"tough-sweep-6","9a658d23da11e5897f202909f69a6b2eb6320611","389","-","finished","dkcr6n31","2025-03-25T21:37:52.000Z","","128","0.6371606678573092","20","200","128","0.005","0.807870683594664","0.00005561219261642712","40","-1.0210113664024494","0.01347650121897459","187","0.12545038759708405","0.03165600821375847","0.6860617150596102","0.1779213547706604","0.025143393390887493","0.03092837892472744"
"worthy-sweep-5","9a658d23da11e5897f202909f69a6b2eb6320611","412","-","finished","dkcr6n31","2025-03-25T21:31:19.000Z","","64","0.6396646442143985","20","200","128","0.0005","0.8953449845228216","0.000014942760443074616","40","-1.0341626695315949","0.0035865786734835376","117","0.035905417054891586","0.006334335543215275","0.9378469374311802","0.07958853989839554","0.002544881202606851","0.0043031197939334175"
"elated-sweep-4","9a658d23da11e5897f202909f69a6b2eb6320611","107","-","finished","dkcr6n31","2025-03-25T21:24:21.000Z","","128","0.6462847015086486","10","200","128","0.0005","0.8093573558471272","0.0000011712206534718564","40","-1.0210113664024494","0.01530214841477573","53","0.08167953044176102","0.014794239774346352","0.8532828828992197","0.12163157761096954","0.010205450178300208","0.01623909897170961"
"fanciful-sweep-3","9a658d23da11e5897f202909f69a6b2eb6320611","158","-","finished","dkcr6n31","2025-03-25T21:22:21.000Z","","64","0.6090322072244191","10","200","128","0.0005","0.8559068707286025","0.00001808862945420739","50","-0.9954572449834294","0.007984089010278694","65","0.0800105631351471","0.014763408340513706","0.8559018271126281","0.1215047687292099","0.008166238825053794","0.011761584115447477"
"laced-sweep-2","9a658d23da11e5897f202909f69a6b2eb6320611","199","-","finished","dkcr6n31","2025-03-25T21:19:37.000Z","","64","0.5657509095100531","10","200","128","0.0005","0.885465367898362","0.0000034769709032873063","50","-1.0845067942633242","0.007562467754310505","57","0.04608388617634773","0.008463224396109581","0.9156982090837492","0.09199578315019608","0.0041361581522734","0.008030690242197703"
"bumbling-sweep-1","9a658d23da11e5897f202909f69a6b2eb6320611","207","-","finished","dkcr6n31","2025-03-25T21:16:13.000Z","","64","0.6382802542134071","10","150","128","0.0005","0.8773007874621965","0.000023347986808243276","30","-1.0031438305782363","0.006262941650945593","54","0.06333839893341064","0.01052092481404543","0.8901253241647991","0.10257156193256378","0.005060497786411468","0.010721890432004994"
"silver-sweep-5","9a658d23da11e5897f202909f69a6b2eb6320611","22","-","failed","","2025-03-25T21:08:03.000Z","","128","0.6673200096498175","10","200","256","0.0005","0.8016531301075112","0.0000015195307307654858","30","","","0","","","","","0.09375016537367128","0.0852530761198564"
"glad-sweep-4","9a658d23da11e5897f202909f69a6b2eb6320611","20","-","failed","","2025-03-25T21:08:03.000Z","","128","0.6418060054426046","20","150","128","0.005","0.8794192960679139","0.0000016512043030790913","50","","","0","","","","","0.09084711449090824","0.07976710423827171"
