Fatigue Score: 0.4314, Feature Mean: 32.5016, Std: 56.3100
Fatigue Score: 0.5465, Feature Mean: 31.9568, Std: 57.1398
Fatigue Score: 0.5078, Feature Mean: 36.0713, Std: 61.3259
Fatigue Score: 0.4557, Feature Mean: 37.4175, Std: 60.8449
Fatigue Score: 0.5209, Feature Mean: 37.7467, Std: 64.4337
Fatigue Score: 0.5015, Feature Mean: 32.8867, Std: 56.2394
Fatigue Score: 0.4853, Feature Mean: 31.8348, Std: 57.6135
Fatigue Score: 0.6263, Feature Mean: 33.9534, Std: 59.4107
Fatigue Score: 0.5119, Feature Mean: 33.1853, Std: 60.7479
Fatigue Score: 0.5712, Feature Mean: 34.1001, Std: 59.4942
Fatigue Score: 0.3244, Feature Mean: 33.9543, Std: 61.7457
Fatigue Score: 0.4761, Feature Mean: 35.1934, Std: 59.2927
Fatigue Score: 0.4404, Feature Mean: 33.4205, Std: 61.4669
Fatigue Score: 0.5036, Feature Mean: 34.3565, Std: 58.6090
Fatigue Score: 0.3913, Feature Mean: 33.0203, Std: 60.2746
Fatigue Score: 0.3801, Feature Mean: 33.5316, Std: 57.1389
Fatigue Score: 0.5194, Feature Mean: 31.9865, Std: 55.9429
Fatigue Score: 0.3987, Feature Mean: 33.4950, Std: 61.9064
Fatigue Score: 0.3664, Feature Mean: 35.7625, Std: 63.3970
Fatigue Score: 0.5429, Feature Mean: 32.1194, Std: 56.4646
