timestamp,fatigue_label,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,neck,left_spine,right_spine,left_hip_torso,right_hip_torso,left_shoulder_torso,right_shoulder_torso
32:31.3,0,170.7836461,169.1676246,165.330664,175.7968895,73.69565044,103.4920457,61.96878837,22.59934944,38.63383302,49.83684726,155.3101198,161.6117526,96.21780366,108.4561036,98.28502233,46.01150443,44.39813461,136.8973286,100.9296833
32:31.3,0,175.5801045,173.2901557,161.0633562,176.7951571,75.63168033,92.1838037,67.15897607,23.89408251,37.93053823,54.94808573,149.014278,158.3236182,101.572718,110.4675843,95.44833337,50.1306975,46.7868987,140.6633028,104.4738382
32:31.3,0,177.0500391,175.2925757,158.3757796,178.8818665,77.84429904,95.52998585,65.66437514,20.45419858,33.66286057,55.03397854,150.960894,151.3305912,99.51228374,111.1286501,93.85601274,50.13084014,45.87677316,137.8792637,103.2546472
32:31.3,0,174.9590324,175.0209014,158.2782311,177.0849769,71.42370575,97.56386919,64.1781014,18.57029593,30.49228779,55.87400075,155.8007054,154.6010194,98.00710968,110.7100305,94.02438882,49.5517554,45.40665702,136.2956941,101.7182839
32:31.4,0,173.4823956,172.8016342,157.7327075,179.044128,68.88167489,98.46692894,64.80717278,19.99704532,33.56119793,58.0695742,151.4802187,156.1813389,98.23579131,110.930983,93.43129094,49.68618688,45.01487994,135.8597235,104.5822207
32:31.4,0,168.7539664,174.6019942,157.9089898,178.4864231,68.81111216,96.64893368,67.13238502,20.17663424,33.29207338,58.94751433,150.4574049,159.3258968,100.2464911,110.4532154,93.18039334,48.8641776,44.39150996,138.8841011,104.7913095
32:31.4,0,168.8074483,174.3856282,157.4672817,179.3462494,66.41835263,99.22733998,66.85931365,18.37703587,31.31112428,59.00176398,153.3557774,159.2893078,100.8845128,110.1557364,93.06977251,48.48313664,43.98817947,138.5342921,103.4765485
32:31.4,0,169.1232827,172.6795666,155.2165369,179.6580289,66.32215334,99.96505071,66.61080773,16.93411,31.0510338,54.14361529,153.7173852,158.8085117,103.3503023,110.5365275,94.03981886,49.65760392,45.13411311,137.4607432,101.5078282
32:31.5,0,168.8085699,172.628907,154.1813421,179.6526378,66.02557228,82.8359803,65.52882857,16.56929579,29.99421622,53.49472979,153.5341829,160.3877117,102.7364065,110.7424682,94.50986555,50.11785104,45.65265256,136.1412904,100.7045003
32:31.5,0,167.2237863,172.8918193,153.5368762,178.8690466,66.94676037,78.95179367,65.14042091,16.50636922,28.21443829,52.31641167,156.302638,159.560289,104.1249228,111.0440438,95.09516336,50.70994962,46.26129052,135.2334735,100.2741094
32:31.5,0,167.9193631,173.0254017,153.4160768,177.6948385,64.47748108,78.69455315,65.37690606,16.87213344,27.76138406,52.15418535,155.8737181,159.3619731,103.76717,110.3469905,95.85825006,50.45015195,46.38835843,135.9057637,100.1380353
32:31.5,0,167.4170876,174.2432929,154.6277507,176.0804236,63.14070578,86.75765193,65.15680661,17.2126433,28.66910127,51.34713618,152.623198,161.3014825,103.4071883,109.7840423,96.72978923,50.48956281,46.80062854,136.0764158,99.77920259
32:31.6,0,167.2581322,175.0141855,154.6994883,175.9878294,61.9827772,82.12076608,64.79014959,16.36453223,30.70140044,50.11510803,148.6674695,158.6899584,103.591356,109.611873,96.88814052,50.53267657,46.8927695,135.7693837,98.8852846
32:31.6,0,168.3816786,175.7381334,155.1182246,176.4933652,62.114311,68.88583339,65.34070735,16.84790807,32.75450974,51.42493438,147.4895881,159.367879,103.2028372,109.1170071,96.3206087,49.68962215,46.02270227,136.6895526,100.061447
32:31.6,0,169.7744907,175.7312976,154.7472006,176.3836361,62.30757783,78.16732291,65.42698236,17.69460733,31.57951032,51.75206731,150.5962086,160.2889859,101.8591752,109.1569344,96.21575306,49.68277882,45.94804847,136.6544762,101.0944261
32:31.6,0,170.302482,175.5385966,154.8297216,176.1512945,62.48426708,80.30224185,65.15882823,17.88639296,30.63643974,51.28564251,151.9068285,160.2230083,101.9097397,109.1979441,96.38593144,49.80601288,46.12831074,136.4163562,101.0449895
32:31.6,0,170.5669579,175.168931,154.4824048,175.7111441,62.69842215,81.38322828,65.54881292,17.1904562,30.3359503,49.17258977,152.1888327,160.2635228,103.4822557,109.5610931,96.95583976,50.53737633,46.95394487,136.6634442,99.55889203
32:31.7,0,171.1595111,175.3759374,154.4764608,175.7551996,59.88368075,83.46977997,66.11309984,17.36212122,29.28727618,49.25701475,153.1215267,158.8141278,103.6552914,109.9743755,96.66243621,50.73743834,46.9844584,136.9832267,99.85518269
32:31.7,0,170.6013872,175.2876425,155.2024592,176.0726823,58.60678608,84.32657167,66.32227593,17.11769051,28.61866834,49.50657567,155.3234298,157.6260209,103.7748747,110.1549003,96.17882724,50.6243213,46.74253983,137.2671784,99.83906057
32:31.7,0,172.6829177,175.2658235,156.0148133,176.2918839,60.04698302,86.02381493,65.97590693,16.85724235,28.01476325,49.62725833,157.5715509,157.3019553,103.4023225,110.1666686,95.92679873,50.61337992,46.65216755,136.9917132,99.7479687
32:31.7,0,173.9943705,175.2328169,156.686872,176.2364016,60.64732964,87.03523608,65.36307615,16.73213708,27.20716332,49.40506041,160.6456321,158.1660758,103.321382,110.0146558,95.9151005,50.55749689,46.61514791,136.4984709,99.6669861
32:31.8,0,175.7667884,174.4955069,157.1367608,176.0897215,60.92517805,88.50517119,64.79789244,16.2873752,27.00649122,48.70075767,160.6615905,158.9919707,103.2470297,109.8492558,96.21915343,50.74985009,46.87645918,135.9525274,99.06433095
32:31.8,0,176.5243183,173.4395703,158.1219636,175.9307565,61.6228931,89.96807057,64.64325454,16.09941976,27.70401551,48.34094173,159.480201,159.5466563,102.6236067,109.7189425,96.36245121,50.76301242,46.95165188,135.8814938,98.77978677
32:31.8,0,175.5335848,172.6472717,159.3889417,175.9222411,62.22320696,90.2646051,64.66529367,16.23054507,28.25807087,48.4373439,158.9415095,159.4175893,102.6520845,109.4755506,96.47989244,50.71370782,46.95323615,135.9921621,98.94823357
